"First Name","Last Name","Title","Account Name","Email","Account ID"
"Leah","Stewart","Director of Sales","Walt Disney Animation Studios","leah.stewart@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Alex","Barnes","Executive Director","Walt Disney Animation Studios","alex.barnes@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Nora","Berg","Executive Director","Walt Disney Animation Studios","nora.berg@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Caleb","Thompson","VP of Engineering","Walt Disney Animation Studios","caleb.thompson@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Finn","Hayes","Director of Marketing","Walt Disney Animation Studios","finn.hayes@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Violet","Thomas","Regional Director","Walt Disney Animation Studios","violet.thomas@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Evan","Hicks","Director of Engineering","BANK OF AMERICA CAPITAL MANAGEMENT INC","evan.hicks@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Ruby","Shaw","Director of Marketing","BANK OF AMERICA CAPITAL MANAGEMENT INC","ruby.shaw@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Grace","Carey","VP of Sales","BANK OF AMERICA CAPITAL MANAGEMENT INC","grace.carey@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Seth","Blake","Director of Product","BANK OF AMERICA CAPITAL MANAGEMENT INC","seth.blake@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Michael","Collier","Director of Operations","BANK OF AMERICA CAPITAL MANAGEMENT INC","michael.collier@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Penelope","Reynolds","Director of Product","BANK OF AMERICA CAPITAL MANAGEMENT INC","penelope.reynolds@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Hazel","Fox","Director of Engineering","BANK OF AMERICA CAPITAL MANAGEMENT INC","hazel.fox@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Marcus","Bailey","Regional Director","BANK OF AMERICA CAPITAL MANAGEMENT INC","marcus.bailey@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Isabella","Price","Director of Sales","BANK OF AMERICA CAPITAL MANAGEMENT INC","isabella.price@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Michelle","Henry","Director of Product","BANK OF AMERICA CAPITAL MANAGEMENT INC","michelle.henry@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Chris","Carr","Executive Director","BANK OF AMERICA CAPITAL MANAGEMENT INC","chris.carr@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Colin","Clayton","VP of Marketing","BANK OF AMERICA CAPITAL MANAGEMENT INC","colin.clayton@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Olivia","Byrd","Senior Director","BANK OF AMERICA CAPITAL MANAGEMENT INC","olivia.byrd@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Summer","Archer","VP of Marketing","BANK OF AMERICA CAPITAL MANAGEMENT INC","summer.archer@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Nathan","Sanders","Director of Marketing","BANK OF AMERICA CAPITAL MANAGEMENT INC","nathan.sanders@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Liam","Phillips","Director of Engineering","BANK OF AMERICA CAPITAL MANAGEMENT INC","liam.phillips@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Pat","Beasley","Director of Sales","BANK OF AMERICA CAPITAL MANAGEMENT INC","pat.beasley@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Evelyn","Cooper","Director of Engineering","BANK OF AMERICA CAPITAL MANAGEMENT INC","evelyn.cooper@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Archer","Fisher","Director of Marketing","BANK OF AMERICA CAPITAL MANAGEMENT INC","archer.fisher@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Jasmine","Baxter","Regional Director","BANK OF AMERICA CAPITAL MANAGEMENT INC","jasmine.baxter@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Samuel","Benjamin","VP of Operations","BANK OF AMERICA CAPITAL MANAGEMENT INC","samuel.benjamin@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Jade","Beach","VP of Operations","BANK OF AMERICA CAPITAL MANAGEMENT INC","jade.beach@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Michael","Bradshaw","Director of Marketing","CHEVRON CHEMICAL","michael.bradshaw@chevronchemical.com","001Hu00003XRhtX"
"Nathan","Barlow","Director of Marketing","CHEVRON CHEMICAL","nathan.barlow@chevronchemical.com","001Hu00003XRhtX"
"Joy","Carey","Director of Engineering","CHEVRON CHEMICAL","joy.carey@chevronchemical.com","001Hu00003XRhtX"
"Lily","Bauer","Executive Director","Walt Disney Animation Studios","lily.bauer@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Ethan","Chase","Regional Director","Walt Disney Animation Studios","ethan.chase@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Victoria","Marshall","Director of Engineering","Walt Disney Animation Studios","victoria.marshall@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Delilah","Richardson","VP of Product","Walt Disney Animation Studios","delilah.richardson@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Ava","Bartlett","VP of Marketing","Walt Disney Animation Studios","ava.bartlett@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Austin","Boyer","Executive Director","Walt Disney Animation Studios","austin.boyer@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Sophie","Hernandez","Regional Director","Walt Disney Animation Studios","sophie.hernandez@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Theodore","Allen","Regional Director","Walt Disney Animation Studios","theodore.allen@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Benjamin","Burt","VP of Engineering","Walt Disney Animation Studios","benjamin.burt@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Michelle","Benson","VP of Marketing","Walt Disney Animation Studios","michelle.benson@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Adam","Benson","VP of Product","Walt Disney Animation Studios","adam.benson@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Natalie","Cherry","VP of Operations","Walt Disney Animation Studios","natalie.cherry@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Amelia","Barry","VP of Marketing","Walt Disney Animation Studios","amelia.barry@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Ruby","Albert","Senior Director","Walt Disney Animation Studios","ruby.albert@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Zoe","Tucker","VP of Sales","Walt Disney Animation Studios","zoe.tucker@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Seth","Copeland","VP of Sales","Walt Disney Animation Studios","seth.copeland@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Marcus","Miller","Director of Sales","Walt Disney Animation Studios","marcus.miller@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Rachel","Browning","Director of Engineering","Walt Disney Animation Studios","rachel.browning@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Evelyn","Chen","Director of Operations","Walt Disney Animation Studios","evelyn.chen@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Gabriel","Russell","VP of Sales","Walt Disney Animation Studios","gabriel.russell@waltdisneyanimationstudios.com","001Hu00003XRhqK"
"Dominic","Banks","CEO","STRUCTURAL METALS INC","dominic.banks@structuralmetalsinc.com","001Hu00003XRhqM"
"Sophie","Mason","CFO","STRUCTURAL METALS INC","sophie.mason@structuralmetalsinc.com","001Hu00003XRhqM"
"Jasmine","Combs","Director of Sales","CITI ARCHITECTURE TECHNOL","jasmine.combs@citiarchitecturetechnol.com","001Hu00003XRho9"
"Dylan","Rivera","Director of Engineering","CITI ARCHITECTURE TECHNOL","dylan.rivera@citiarchitecturetechnol.com","001Hu00003XRho9"
"Adrian","Foster","CEO","Pfizer Inc (Bldg 204A Dock)","adrian.foster@pfizerinc.com","001Hu00003XRhoC"
"Jade","Conner","CFO","Pfizer Inc (Bldg 204A Dock)","jade.conner@pfizerinc.com","001Hu00003XRhoC"
"Chris","Clark","CTO","Pfizer Inc (Bldg 204A Dock)","chris.clark@pfizerinc.com","001Hu00003XRhoC"
"Harper","Coleman","CRO","Pfizer Inc (Bldg 204A Dock)","harper.coleman@pfizerinc.com","001Hu00003XRhoC"
"Violet","Barnes","CIO","Pfizer Inc (Bldg 204A Dock)","violet.barnes@pfizerinc.com","001Hu00003XRhoC"
"Ava","Burns","CISO","Pfizer Inc (Bldg 204A Dock)","ava.burns@pfizerinc.com","001Hu00003XRhoC"
"Emma","Cooke","CMO","Pfizer Inc (Bldg 204A Dock)","emma.cooke@pfizerinc.com","001Hu00003XRhoC"
"Scarlett","Wilson","Director of Product","Pfizer Inc (Bldg 204A Dock)","scarlett.wilson@pfizerinc.com","001Hu00003XRhoC"
"Ava","Russell","Director of Engineering","Pfizer Inc (Bldg 204A Dock)","ava.russell@pfizerinc.com","001Hu00003XRhoC"
"Rachel","Cooper","Director of Engineering","Pfizer Inc (Bldg 204A Dock)","rachel.cooper@pfizerinc.com","001Hu00003XRhoC"
"Taylor","Anthony","Director of Sales","Pfizer Inc (Bldg 204A Dock)","taylor.anthony@pfizerinc.com","001Hu00003XRhoC"
"Owen","Caldwell","Regional Director","Pfizer Inc (Bldg 204A Dock)","owen.caldwell@pfizerinc.com","001Hu00003XRhoC"
"Ava","Martin","VP of Marketing","Pfizer Inc (Bldg 204A Dock)","ava.martin@pfizerinc.com","001Hu00003XRhoC"
"Ava","Carpenter","VP of Engineering","Pfizer Inc (Bldg 204A Dock)","ava.carpenter@pfizerinc.com","001Hu00003XRhoC"
"Olivia","Ayala","Director of Engineering","Pfizer Inc (Bldg 204A Dock)","olivia.ayala@pfizerinc.com","001Hu00003XRhoC"
"Axel","Cole","VP of Operations","Pfizer Inc (Bldg 204A Dock)","axel.cole@pfizerinc.com","001Hu00003XRhoC"
"Julian","Chaney","Director of Operations","Pfizer Inc (Bldg 204A Dock)","julian.chaney@pfizerinc.com","001Hu00003XRhoC"
"Asher","Ellis","Director of Marketing","Pfizer Inc (Bldg 204A Dock)","asher.ellis@pfizerinc.com","001Hu00003XRhoC"
"John","Boyle","VP of Engineering","Pfizer Inc (Bldg 204A Dock)","john.boyle@pfizerinc.com","001Hu00003XRhoC"
"Lucy","Miller","Executive Director","BANK OF AMERICA CAPITAL MANAGEMENT INC","lucy.miller@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Elijah","Barron","Executive Director","BANK OF AMERICA CAPITAL MANAGEMENT INC","elijah.barron@bankofamericacapitalmanagementinc.com","001Hu00003XRhtV"
"Cooper","Albert","CEO","CHEVRON CHEMICAL","cooper.albert@chevronchemical.com","001Hu00003XRhtX"
"Liam","Bellamy","CFO","CHEVRON CHEMICAL","liam.bellamy@chevronchemical.com","001Hu00003XRhtX"
"Leo","Burnett","CTO","CHEVRON CHEMICAL","leo.burnett@chevronchemical.com","001Hu00003XRhtX"
"Elena","Berg","CRO","CHEVRON CHEMICAL","elena.berg@chevronchemical.com","001Hu00003XRhtX"
"Oscar","Phillips","CIO","CHEVRON CHEMICAL","oscar.phillips@chevronchemical.com","001Hu00003XRhtX"
"Jade","Collins","CISO","CHEVRON CHEMICAL","jade.collins@chevronchemical.com","001Hu00003XRhtX"
"Axel","Bradshaw","CMO","CHEVRON CHEMICAL","axel.bradshaw@chevronchemical.com","001Hu00003XRhtX"
"Hope","Albert","VP of Marketing","CHEVRON CHEMICAL","hope.albert@chevronchemical.com","001Hu00003XRhtX"
"Miles","Jones","Director of Operations","CHEVRON CHEMICAL","miles.jones@chevronchemical.com","001Hu00003XRhtX"
"Archer","Phillips","Director of Marketing","CHEVRON CHEMICAL","archer.phillips@chevronchemical.com","001Hu00003XRhtX"
"Quinn","Burton","VP of Marketing","CHEVRON CHEMICAL","quinn.burton@chevronchemical.com","001Hu00003XRhtX"
"Victoria","Chaney","Executive Director","CHEVRON CHEMICAL","victoria.chaney@chevronchemical.com","001Hu00003XRhtX"
"James","Robinson","Director of Product","CHEVRON CHEMICAL","james.robinson@chevronchemical.com","001Hu00003XRhtX"
"Michelle","Walker","Director of Engineering","CHEVRON CHEMICAL","michelle.walker@chevronchemical.com","001Hu00003XRhtX"
"Lily","Miller","VP of Sales","CHEVRON CHEMICAL","lily.miller@chevronchemical.com","001Hu00003XRhtX"
"Aurora","Cline","Senior Director","CHEVRON CHEMICAL","aurora.cline@chevronchemical.com","001Hu00003XRhtX"
"Harper","Ford","VP of Product","CHEVRON CHEMICAL","harper.ford@chevronchemical.com","001Hu00003XRhtX"
"Seth","Owens","Executive Director","CHEVRON CHEMICAL","seth.owens@chevronchemical.com","001Hu00003XRhtX"
"Cooper","Bright","Director of Engineering","CHEVRON CHEMICAL","cooper.bright@chevronchemical.com","001Hu00003XRhtX"
"Preston","Atkins","VP of Product","CHEVRON CHEMICAL","preston.atkins@chevronchemical.com","001Hu00003XRhtX"
"Cooper","Chavez","Director of Sales","CHEVRON CHEMICAL","cooper.chavez@chevronchemical.com","001Hu00003XRhtX"
"Preston","Benson","VP of Product","CHEVRON CHEMICAL","preston.benson@chevronchemical.com","001Hu00003XRhtX"
"Amelia","Robinson","Director of Operations","CHEVRON CHEMICAL","amelia.robinson@chevronchemical.com","001Hu00003XRhtX"
"Dominic","Phillips","VP of Marketing","CHEVRON CHEMICAL","dominic.phillips@chevronchemical.com","001Hu00003XRhtX"
"Layla","Holmes","VP of Engineering","CHEVRON CHEMICAL","layla.holmes@chevronchemical.com","001Hu00003XRhtX"
"Naomi","Freeman","Director of Marketing","CHEVRON CHEMICAL","naomi.freeman@chevronchemical.com","001Hu00003XRhtX"
"Stella","Collier","Director of Operations","CHEVRON CHEMICAL","stella.collier@chevronchemical.com","001Hu00003XRhtX"
"Zoe","Kennedy","Director of Product","CHEVRON CHEMICAL","zoe.kennedy@chevronchemical.com","001Hu00003XRhtX"
"Adrian","Burnett","Regional Director","CHEVRON CHEMICAL","adrian.burnett@chevronchemical.com","001Hu00003XRhtX"
"River","Murphy","CEO","CITIFINANCIAL","river.murphy@citifinancial.com","001Hu00003XRhtY"
"Emmett","Cruz","CFO","CITIFINANCIAL","emmett.cruz@citifinancial.com","001Hu00003XRhtY"
"Adrian","Albert","CTO","CITIFINANCIAL","adrian.albert@citifinancial.com","001Hu00003XRhtY"
"Emmett","Shaw","CRO","CITIFINANCIAL","emmett.shaw@citifinancial.com","001Hu00003XRhtY"
"Faith","Porter","CIO","CITIFINANCIAL","faith.porter@citifinancial.com","001Hu00003XRhtY"
"Jordan","Fox","CISO","CITIFINANCIAL","jordan.fox@citifinancial.com","001Hu00003XRhtY"
"Carter","Barton","CMO","CITIFINANCIAL","carter.barton@citifinancial.com","001Hu00003XRhtY"
"Autumn","Beach","Director of Product","CITIFINANCIAL","autumn.beach@citifinancial.com","001Hu00003XRhtY"
"August","Peterson","VP of Product","CITIFINANCIAL","august.peterson@citifinancial.com","001Hu00003XRhtY"
"Quinn","Alston","VP of Product","CITIFINANCIAL","quinn.alston@citifinancial.com","001Hu00003XRhtY"
"Iris","Murphy","VP of Operations","CITIFINANCIAL","iris.murphy@citifinancial.com","001Hu00003XRhtY"
"Naomi","Caldwell","VP of Marketing","CITIFINANCIAL","naomi.caldwell@citifinancial.com","001Hu00003XRhtY"
"Archer","Bradshaw","Director of Operations","CITIFINANCIAL","archer.bradshaw@citifinancial.com","001Hu00003XRhtY"
"Rose","Stewart","CISO","STRUCTURAL METALS INC","rose.stewart@structuralmetalsinc.com","001Hu00003XRhqM"
"Faith","Case","CTO","STRUCTURAL METALS INC","faith.case@structuralmetalsinc.com","001Hu00003XRhqM"
"Theodore","Compton","CRO","STRUCTURAL METALS INC","theodore.compton@structuralmetalsinc.com","001Hu00003XRhqM"
"Ethan","Barber","CIO","STRUCTURAL METALS INC","ethan.barber@structuralmetalsinc.com","001Hu00003XRhqM"
"Aurora","Buckner","CMO","STRUCTURAL METALS INC","aurora.buckner@structuralmetalsinc.com","001Hu00003XRhqM"
"Madison","Garcia","Director of Engineering","STRUCTURAL METALS INC","madison.garcia@structuralmetalsinc.com","001Hu00003XRhqM"
"Isabella","Baxter","Director of Engineering","STRUCTURAL METALS INC","isabella.baxter@structuralmetalsinc.com","001Hu00003XRhqM"
"Seth","Bradford","Director of Engineering","STRUCTURAL METALS INC","seth.bradford@structuralmetalsinc.com","001Hu00003XRhqM"
"Henry","Casey","Executive Director","STRUCTURAL METALS INC","henry.casey@structuralmetalsinc.com","001Hu00003XRhqM"
"Elena","Jones","Director of Sales","STRUCTURAL METALS INC","elena.jones@structuralmetalsinc.com","001Hu00003XRhqM"
"Ava","Alston","VP of Product","STRUCTURAL METALS INC","ava.alston@structuralmetalsinc.com","001Hu00003XRhqM"
"Noah","Cochran","Director of Sales","STRUCTURAL METALS INC","noah.cochran@structuralmetalsinc.com","001Hu00003XRhqM"
"Ava","Britt","Director of Operations","STRUCTURAL METALS INC","ava.britt@structuralmetalsinc.com","001Hu00003XRhqM"
"Stella","Branson","VP of Operations","STRUCTURAL METALS INC","stella.branson@structuralmetalsinc.com","001Hu00003XRhqM"
"Carter","Buckley","Director of Product","STRUCTURAL METALS INC","carter.buckley@structuralmetalsinc.com","001Hu00003XRhqM"
"Nora","Baxter","VP of Marketing","STRUCTURAL METALS INC","nora.baxter@structuralmetalsinc.com","001Hu00003XRhqM"
"Hazel","Phillips","Director of Product","STRUCTURAL METALS INC","hazel.phillips@structuralmetalsinc.com","001Hu00003XRhqM"
"Derek","Brooks","Director of Operations","STRUCTURAL METALS INC","derek.brooks@structuralmetalsinc.com","001Hu00003XRhqM"
"Hazel","Boyer","VP of Product","STRUCTURAL METALS INC","hazel.boyer@structuralmetalsinc.com","001Hu00003XRhqM"
"Caleb","Collins","Director of Marketing","STRUCTURAL METALS INC","caleb.collins@structuralmetalsinc.com","001Hu00003XRhqM"
"Axel","Russell","Director of Marketing","STRUCTURAL METALS INC","axel.russell@structuralmetalsinc.com","001Hu00003XRhqM"
"Delilah","Barnett","Director of Product","STRUCTURAL METALS INC","delilah.barnett@structuralmetalsinc.com","001Hu00003XRhqM"
"Gabriel","Bowman","Director of Marketing","STRUCTURAL METALS INC","gabriel.bowman@structuralmetalsinc.com","001Hu00003XRhqM"
"Taylor","Garcia","Director of Marketing","Pfizer Inc (Bldg 204A Dock)","taylor.garcia@pfizerinc.com","001Hu00003XRhoC"
"Zachary","Robertson","Regional Director","Pfizer Inc (Bldg 204A Dock)","zachary.robertson@pfizerinc.com","001Hu00003XRhoC"
"Wesley","Rice","Director of Marketing","Pfizer Inc (Bldg 204A Dock)","wesley.rice@pfizerinc.com","001Hu00003XRhoC"
"Marcus","Abbott","Executive Director","Pfizer Inc (Bldg 204A Dock)","marcus.abbott@pfizerinc.com","001Hu00003XRhoC"
"Ethan","Lopez","VP of Sales","Pfizer Inc (Bldg 204A Dock)","ethan.lopez@pfizerinc.com","001Hu00003XRhoC"
"Rhys","Bradford","Director of Sales","Pfizer Inc (Bldg 204A Dock)","rhys.bradford@pfizerinc.com","001Hu00003XRhoC"
"Jane","Cole","VP of Operations","Pfizer Inc (Bldg 204A Dock)","jane.cole@pfizerinc.com","001Hu00003XRhoC"
"Charlotte","Bond","Director of Marketing","Pfizer Inc (Bldg 204A Dock)","charlotte.bond@pfizerinc.com","001Hu00003XRhoC"
"Ethan","Barrett","Executive Director","Pfizer Inc (Bldg 204A Dock)","ethan.barrett@pfizerinc.com","001Hu00003XRhoC"
"Jade","Ferguson","Senior Director","Pfizer Inc (Bldg 204A Dock)","jade.ferguson@pfizerinc.com","001Hu00003XRhoC"
"Iris","Perez","CEO","Microsoft BPOS","iris.perez@microsoftbpos.com","001Hu00003XRhoD"
"Penelope","Ward","CFO","Microsoft BPOS","penelope.ward@microsoftbpos.com","001Hu00003XRhoD"
"Max","Cherry","CTO","Microsoft BPOS","max.cherry@microsoftbpos.com","001Hu00003XRhoD"
"Evelyn","Bernard","CRO","Microsoft BPOS","evelyn.bernard@microsoftbpos.com","001Hu00003XRhoD"
"Simon","Ford","CIO","Microsoft BPOS","simon.ford@microsoftbpos.com","001Hu00003XRhoD"
"Henry","Chen","CISO","Microsoft BPOS","henry.chen@microsoftbpos.com","001Hu00003XRhoD"
"Owen","Owens","CMO","Microsoft BPOS","owen.owens@microsoftbpos.com","001Hu00003XRhoD"
"Emma","Berry","Director of Sales","Microsoft BPOS","emma.berry@microsoftbpos.com","001Hu00003XRhoD"
"Ethan","Brown","VP of Marketing","Microsoft BPOS","ethan.brown@microsoftbpos.com","001Hu00003XRhoD"
"Adam","Clifford","Director of Product","Microsoft BPOS","adam.clifford@microsoftbpos.com","001Hu00003XRhoD"
"Evelyn","Marshall","VP of Engineering","CHEVRON CHEMICAL","evelyn.marshall@chevronchemical.com","001Hu00003XRhtX"
"Logan","Bryan","VP of Product","CHEVRON CHEMICAL","logan.bryan@chevronchemical.com","001Hu00003XRhtX"
"Archer","Ames","VP of Marketing","CHEVRON CHEMICAL","archer.ames@chevronchemical.com","001Hu00003XRhtX"
"Phoenix","Collier","Executive Director","CHEVRON CHEMICAL","phoenix.collier@chevronchemical.com","001Hu00003XRhtX"
"Phoenix","Fisher","Director of Operations","CHEVRON CHEMICAL","phoenix.fisher@chevronchemical.com","001Hu00003XRhtX"
"Henry","Berry","VP of Engineering","CHEVRON CHEMICAL","henry.berry@chevronchemical.com","001Hu00003XRhtX"
"Alex","Cochran","Regional Director","CHEVRON CHEMICAL","alex.cochran@chevronchemical.com","001Hu00003XRhtX"
"Michael","Alvarez","Regional Director","CHEVRON CHEMICAL","michael.alvarez@chevronchemical.com","001Hu00003XRhtX"
"Ava","Bishop","VP of Marketing","CHEVRON CHEMICAL","ava.bishop@chevronchemical.com","001Hu00003XRhtX"
"James","Mason","VP of Sales","CHEVRON CHEMICAL","james.mason@chevronchemical.com","001Hu00003XRhtX"
"Finn","Bond","Senior Director","CHEVRON CHEMICAL","finn.bond@chevronchemical.com","001Hu00003XRhtX"
"Jordan","Blanchard","Director of Engineering","CHEVRON CHEMICAL","jordan.blanchard@chevronchemical.com","001Hu00003XRhtX"
"Delilah","Howard","VP of Sales","CHEVRON CHEMICAL","delilah.howard@chevronchemical.com","001Hu00003XRhtX"
"Michael","Watson","VP of Engineering","CHEVRON CHEMICAL","michael.watson@chevronchemical.com","001Hu00003XRhtX"
"Clara","Adams","Director of Engineering","CHEVRON CHEMICAL","clara.adams@chevronchemical.com","001Hu00003XRhtX"
"Cooper","Cole","VP of Marketing","CHEVRON CHEMICAL","cooper.cole@chevronchemical.com","001Hu00003XRhtX"
"Lucy","Baker","VP of Operations","CHEVRON CHEMICAL","lucy.baker@chevronchemical.com","001Hu00003XRhtX"
"Benjamin","Wells","Director of Sales","CHEVRON CHEMICAL","benjamin.wells@chevronchemical.com","001Hu00003XRhtX"
"Bella","Conley","Regional Director","CHEVRON CHEMICAL","bella.conley@chevronchemical.com","001Hu00003XRhtX"
"Rachel","Owens","Director of Sales","CHEVRON CHEMICAL","rachel.owens@chevronchemical.com","001Hu00003XRhtX"
"Adrian","Bentley","Senior Director","CHEVRON CHEMICAL","adrian.bentley@chevronchemical.com","001Hu00003XRhtX"
"Ruby","Ford","VP of Product","CHEVRON CHEMICAL","ruby.ford@chevronchemical.com","001Hu00003XRhtX"
"Dominic","Miller","Executive Director","CHEVRON CHEMICAL","dominic.miller@chevronchemical.com","001Hu00003XRhtX"
