"Account Name","Opportunity Name","Stage","Fiscal Period","Amount","Probability (%)","Close Date","Created Date","Next Step","Lead Source","Type","Primary Contact","Account ID","Contact: Email","Contact: Title"
"Target Corporation (TTCE)","PaaS: Analytics Cloud Implementation","Qualify","Q1-2025","86668.90","14","1/1/2025","1/12/2025","Gather requirements from the VP of Sales","Social Media","Expansion","Elena Callahan","001Hu00003XRhnR","elena.callahan@targetcorporation.com","Director of Engineering"
"AT&T Wireline Puerto Rico","OCI: Compute Implementation","Propose","Q1-2025","53894.03","47","1/1/2025","1/12/2025","Review the proposal with the CTO","Referral","Renewal","","001Hu00003XRhu4","",""
"DISNEY ONLINE NOHO","SaaS: ERP Implementation","Qualify","Q1-2025","14785.53","10","1/1/2025","1/12/2025","Send introduction email to the CTO","Referral","Renewal","Harper Bennett","001Hu00003XRhpW","harper.bennett@disneyonlinenoho.com","VP of Marketing"
"Verizon Telematics Inc","SaaS: SCM Adoption Initiative","Negotiate","Q1-2025","170151.87","70","1/1/2025","1/12/2025","Resolve open concerns with the Director of Operations","Referral","New Business","Harper Beck","001Hu00003XRhvD","harper.beck@verizontelematicsinc.com","Director of Operations"
"Verizon - VZ Data Services, Inc.","SaaS: Financials Adoption Initiative","Closed Lost","Q1-2025","477583.37","4","1/1/2025","1/12/2025","Document feedback from the Product Manager","Cold Call","Expansion","","001Hu00003XRhu1","",""
"Pfizer Poultry Health Division Embrex","OCI: Storage Implementation","Closed Won","Q1-2025","105928.50","99","1/1/2025","1/12/2025","Prepare onboarding materials for the VP of Sales","Referral","Renewal","Bella Bernard","001Hu00003XRho8","bella.bernard@pfizerpoultryhealthdivisionembrex.com","Director of Marketing"
"AT&T research labs,GRIphoN","OCI: Compute Adoption Initiative","Closed Won","Q1-2025","85562.01","97","1/1/2025","1/12/2025","Prepare onboarding materials for the VP of Sales","Web","Renewal","","001Hu00003XRhrr","",""
"AT&T San Diego IDC","PaaS: Blockchain Implementation","Meet & Present","Q1-2025","30148.48","23","1/2/2025","1/12/2025","Discuss initial feedback with the CFO","Web","Renewal","","001Hu00003XRhov","",""
"Target","PaaS: Generative AI Implementation","Negotiate","Q1-2025","476335.61","79","1/2/2025","1/12/2025","Negotiate terms with the CFO","Web","Renewal","John Avery","001Hu00003XRhtj","john.avery@target.com","Senior Director"
"ExxonMobil - Lubes Division","OCI: Compute Implementation","Negotiate","Q1-2025","411546.64","75","1/2/2025","1/12/2025","Finalize contract details with the CRO","Referral","Expansion","Marcus Bright","001Hu00003XRhn8","marcus.bright@exxonmobil-lubesdivision.com","VP of Marketing"
"Northrop Grumman Information Technology Intelligence Group (TASC)","SaaS: CX Expansion Project","Meet & Present","Q1-2025","10611.36","25","1/2/2025","1/12/2025","Hold a meeting with the CEO to present our solution","Referral","Expansion","Chloe Murray","001Hu00003XRhwR","chloe.murray@northropgrummaninformationtechnologyintelligencegroup.com","CIO"
"BAE SYSTEMS APPLIED INTELLIGENCE, INC.","OCI: Storage Expansion Project","Meet & Present","Q1-2025","67027.31","29","1/2/2025","1/12/2025","Discuss initial feedback with the CRO","Web","Renewal","","001Hu00003XRhqP","",""
"AT&T / IBMGS","SaaS: SCM Upgrade Proposal","Meet & Present","Q1-2025","153280.82","21","1/2/2025","1/12/2025","Demonstrate product features to the CFO","Event","Renewal","","001Hu00003XRhoQ","",""
"Amazon Robotics LLC","PaaS: Integration Cloud Expansion Project","Qualify","Q1-2025","172108.12","10","1/2/2025","1/12/2025","Schedule an initial call with the CRO","Referral","New Business","Ava Marshall","001Hu00003XRhog","ava.marshall@amazonroboticsllc.com","CISO"
"Amazon","OCI: IaaS Expansion Project","Qualify","Q1-2025","13152.15","11","1/2/2025","1/12/2025","Gather requirements from the CTO","Referral","New Business","Simon Cannon","001Hu00003XRhv7","simon.cannon@amazon.com","Director of Sales"
"Comcast Cablevision of Delaware Inc","OCI: IaaS Upgrade Proposal","Negotiate","Q1-2025","14047.95","71","1/2/2025","1/12/2025","Finalize contract details with the CEO","Web","New Business","Grace Bruce","001Hu00003XRhpB","grace.bruce@comcastcablevisionofdelawareinc.com","VP of Marketing"
"Pfizer Ltd","PaaS: Integration Cloud Expansion Project","Meet & Present","Q1-2025","5032.27","23","1/2/2025","1/12/2025","Hold a meeting with the CEO to present our solution","Event","New Business","Grace Garcia","001Hu00003XRhsh","grace.garcia@pfizerltd.com","VP of Marketing"
"Agilum Healthcare Intelligence, Inc.","PaaS: Blockchain Implementation","Closed Lost","Q1-2025","186633.34","0","1/2/2025","1/12/2025","Document feedback from the CTO","Cold Call","Renewal","","001Hu00003XRhuO","",""
"Chevron","OCI: IaaS Adoption Initiative","Closed Lost","Q1-2025","451680.93","2","1/2/2025","1/12/2025","Document feedback from the VP of Sales","Cold Call","Expansion","Blake Barker","001Hu00003XRhrB","blake.barker@chevron.com","CIO"
"IBM RESEARCH","SaaS: ERP Adoption Initiative","Closed Lost","Q1-2025","11851.51","3","1/2/2025","1/12/2025","Plan re-engagement strategy with the CRO","Social Media","Expansion","Amelia Hayes","001Hu00003XRhs7","amelia.hayes@ibmresearch.com","VP of Marketing"
"COX TARGET MEDIA INC","PaaS: Blockchain Implementation","Closed Won","Q1-2025","83597.84","97","1/2/2025","1/12/2025","Set up a kickoff meeting with the Product Manager","Cold Call","Expansion","Stella Banks","001Hu00003XRhva","stella.banks@coxtargetmediainc.com","CEO"
"Boeing Shared Services","PaaS: Analytics Cloud Upgrade Proposal","Closed Won","Q1-2025","374964.75","97","1/2/2025","1/12/2025","Set up a kickoff meeting with the CTO","Web","Renewal","Violet Calhoun","001Hu00003XRhu8","violet.calhoun@boeingsharedservices.com","VP of Marketing"
"JP Morgan Chase - 1 CMP","OCI: Compute Implementation","Closed Won","Q1-2025","392344.82","96","1/2/2025","1/12/2025","Prepare onboarding materials for the CTO","Social Media","New Business","Delilah Palmer","001Hu00003XRhoR","delilah.palmer@jpmorganchase-1cmp.com","CRO"
"IBM Growth Markets LLC","OCI: IaaS Expansion Project","Propose","Q1-2025","21296.82","51","1/3/2025","1/12/2025","Review the proposal with the CTO","Event","Renewal","Preston Freeman","001Hu00003XRhtB","preston.freeman@ibmgrowthmarketsllc.com","Director of Product"
"IBM DM (HQ)","OCI: Storage Implementation","Propose","Q1-2025","19723.43","46","1/3/2025","1/12/2025","Send a proposal to the CFO","Web","Expansion","Austin Charles","001Hu00003XRhpt","austin.charles@ibmdm.com","VP of Product"
"GENERAL MOTORS COMPANY","SaaS: Financials Expansion Project","Qualify","Q1-2025","14324.80","9","1/3/2025","1/12/2025","Send introduction email to the CRO","Cold Call","Expansion","Penelope Chase","001Hu00003XRhtE","penelope.chase@generalmotorscompany.com","VP of Product"
"Verizon Communcations","OCI: Compute Expansion Project","Negotiate","Q1-2025","37396.46","74","1/3/2025","1/12/2025","Negotiate terms with the Director of Operations","Event","New Business","Lucy Britt","001Hu00003XRhnT","lucy.britt@verizoncommuncations.com","CIO"
"Pfizer Animal Health","PaaS: Integration Cloud Expansion Project","Qualify","Q1-2025","78246.84","6","1/3/2025","1/12/2025","Gather requirements from the Product Manager","Referral","Expansion","Wesley Broderick","001Hu00003XRhnm","wesley.broderick@pfizeranimalhealth.com","Regional Director"
"Disney Shopping, Inc","OCI: Autonomous Database Expansion Project","Negotiate","Q1-2025","12622.75","70","1/3/2025","1/12/2025","Resolve open concerns with the VP of Sales","Social Media","New Business","","001Hu00003XRhtM","",""
"COMCAST MEDIA CENTER","SaaS: Financials Adoption Initiative","Propose","Q1-2025","61245.38","53","1/3/2025","1/12/2025","Send a proposal to the CTO","Event","Expansion","Phoenix Ward","001Hu00003XRhsi","phoenix.ward@comcastmediacenter.com","VP of Marketing"
